,Player,Year,Tm,Age,Pos,G,GS,rating_adj_1,df_id,pro_bowl,first_all_pro
194,Dorian Boose,1999.0,NYJ,25,DE,12.0,0.0,3.157656625064856,DL,0,0
195,N.D. Kalu,1999.0,WAS,24,DE,12.0,0.0,47.38217166333824,DL,0,0
196,John McLaughlin,1999.0,TAM,24,DE,12.0,0.0,0.0,DL,0,0
197,Chike Okeafor,1999.0,SFO,23,DE,12.0,0.0,35.894118321940766,DL,0,0
198,Esera Tuaolo,1999.0,CAR,31,DT,12.0,0.0,32.62438100126314,DL,0,0
199,Josh Evans,1999.0,TEN,27,LDT,11.0,10.0,44.806968542721144,DL,0,0
200,Russell Davis,1999.0,CHI,24,RDE,11.0,8.0,47.26093301615852,DL,0,0
201,Andre Wadsworth,1999.0,ARI,25,LDE,11.0,7.0,107.2362195375259,DL,0,0
202,Mike Jones,1999.0,TEN,30,DE,11.0,3.0,50.43594586308212,DL,0,0
203,Kenny Mixon,1999.0,MIA,24,DE,11.0,2.0,31.515061577575942,DL,0,0
204,Cletidus Hunt,1999.0,GNB,23,DE,11.0,1.0,26.35165660909796,DL,0,0
205,Greg Spires,1999.0,NWE,25,DE,11.0,0.0,0.0,DL,0,0
206,John Jurkovic,1999.0,CLE,32,RDT,10.0,9.0,14.74202013276077,DL,0,0
207,John Burrough,1999.0,MIN,27,DE,10.0,2.0,6.053747501988838,DL,0,0
208,Doug Brown,1999.0,WAS,25,DT,10.0,0.0,0.728689990399583,DL,0,0
209,Tony Bryant,1999.0,OAK,23,DE,10.0,0.0,56.161936236138814,DL,0,0
210,Nate Hobgood-Chittick,1999.0,STL,25,DT,10.0,0.0,7.875472477987792,DL,0,0
211,Tony McCoy,1999.0,IND,30,DT,10.0,0.0,0.0,DL,0,0
212,Derrick Ransom,1999.0,KAN,23,DT,10.0,0.0,4.372139942397495,DL,0,0
213,Joe Salave'a,1999.0,TEN,24,DT,10.0,0.0,0.0,DL,0,0
214,Brad Scioli,1999.0,IND,23,DE,10.0,0.0,16.021641884947524,DL,0,0
215,Jermaine Smith,1999.0,GNB,27,DT,10.0,0.0,30.585903789095873,DL,0,0
216,Marcus Spriggs,1999.0,CLE,23,DT,10.0,0.0,0.728689990399583,DL,0,0
217,Mike Thompson,1999.0,CLE,28,DT,10.0,0.0,9.13672778835629,DL,0,0
218,Jason Ferguson,1999.0,NYJ,25,NT,9.0,9.0,86.84243968686772,DL,0,0
219,Jason Peter,1999.0,CAR,25,LDE,9.0,9.0,121.2636394245348,DL,0,0
220,Shawn King,1999.0,IND,27,LDE,9.0,8.0,117.19631755254062,DL,0,0
221,Corey Sears,1999.0,ARI,26,DE,9.0,1.0,21.43722491739113,DL,0,0
222,Antonio Dingle,1999.0,2TM,23,DT,9.0,0.0,0.0,DL,0,0
223,Antonio Dingle,1999.0,GNB,23,DT,6.0,0.0,0.0,DL,0,0
224,Antonio Dingle,1999.0,CAR,23,DT,3.0,0.0,0.0,DL,0,0
225,Ryan Hale,1999.0,NYG,24,DT,9.0,0.0,18.125686534563723,DL,0,0
226,Arnold Miller,1999.0,CLE,24,DE,9.0,0.0,13.652041504968246,DL,0,0
227,Chris Mims,1999.0,SDG,29,DT,9.0,0.0,5.181795487285918,DL,0,0
228,Mike Pringley,1999.0,DET,23,DE,9.0,0.0,7.205934349506982,DL,0,0
229,Montae Reagor,1999.0,DEN,22,DT,9.0,0.0,0.0,DL,0,0
230,Eric Swann,1999.0,ARI,29,DT,9.0,0.0,71.55235482626277,DL,0,0
231,Jared Tomich,1999.0,NOR,25,LDE,8.0,6.0,90.69949687590437,DL,0,0
